epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36825,2.24131,3.64431,2.08173,0.00458,0.63953,0.10509,0.04141,2.08224,3.61771,1.95679,8e-05,8e-05,8e-05
2,16.4098,2.00109,3.36543,1.86773,0.00517,0.72093,0.17615,0.06195,1.91472,3.45587,1.76285,0.00014436,0.00014436,0.00014436
3,24.4293,2.11688,3.18113,1.92939,0.00575,0.80233,0.20077,0.07621,1.86178,3.37075,1.71015,0.00016912,0.00016912,0.00016912
4,32.502,1.86505,2.96126,1.75258,0.006,0.83721,0.22186,0.0914,1.80054,3.29315,1.67003,0.00015428,0.00015428,0.00015428
5,40.6782,1.92681,2.73371,1.71618,0.00617,0.86047,0.24627,0.1085,1.79981,3.22762,1.65164,9.984e-05,9.984e-05,9.984e-05
